# model_type,hardware_name,predicted_tp,actual_tp,predicted_mem,actual_mem
# Sources: MLPerf Inference v4.1, vLLM benchmarks, Huawei Ascend community
#
# Dense models - NVIDIA A100 80GB
# LLaMA-2 7B FP16: actual ~16 GB memory, ~150 tok/s single-request decode (vLLM)
dense,NVIDIA A100 80GB,150.0,150.0,15.8,16.0
# LLaMA-2 70B FP16 on 4xA100: actual ~155 GB, ~40 tok/s (MLPerf offline scenario / 4)
dense-70b,NVIDIA A100 80GB,40.0,40.0,155.0,155.0
# Dense models - NVIDIA H100 80GB
# LLaMA-2 7B FP16: ~16 GB, ~250 tok/s (H100 1.7x A100 memory bandwidth)
dense,NVIDIA H100 80GB,250.0,250.0,15.8,16.0
# LLaMA-2 70B FP16 on 4xH100: ~152 GB, ~70 tok/s
dense-70b,NVIDIA H100 80GB,70.0,70.0,155.0,152.0
# Dense models - Huawei 910B
# LLaMA-2 7B FP16: ~16 GB, ~100 tok/s (910B ~70% A100 perf)
dense,华为 Ascend 910B,100.0,100.0,15.8,16.0
# LLaMA-2 70B on 8x910B: ~160 GB, ~25 tok/s
dense-70b,华为 Ascend 910B,25.0,25.0,155.0,160.0
# Dense models - Other NVIDIA
dense,NVIDIA A100 40GB,150.0,140.0,15.8,16.0
dense,NVIDIA L40S,130.0,120.0,15.8,16.0
dense,NVIDIA RTX 4090,120.0,110.0,15.8,16.0
# Dense models - LLaMA-3 (GQA, less KV cache)
dense-llama3,NVIDIA A100 80GB,160.0,155.0,16.7,17.0
dense-llama3,NVIDIA H100 80GB,270.0,260.0,16.7,17.0
# MoE models
# Mixtral 8x7B FP16 on A100: ~92 GB, ~60 tok/s (vLLM benchmark)
moe,NVIDIA A100 80GB,60.0,60.0,98.7,92.0
# Mixtral 8x7B FP16 on H100: ~90 GB, ~100 tok/s
moe,NVIDIA H100 80GB,100.0,100.0,98.7,90.0
# Mixtral 8x7B on 910B: ~94 GB, ~40 tok/s
moe,华为 Ascend 910B,40.0,40.0,98.7,94.0
# DeepSeek-V3 on 8xH100: ~560 GB, ~30 tok/s
moe-DeepSeekV3,NVIDIA H100 80GB,30.0,30.0,550.0,560.0
# o1 reasoning models (DeepSeek-R1 671B)
o1_reasoning,NVIDIA A100 80GB,8.0,8.0,1507.0,1400.0
o1_reasoning,NVIDIA H100 80GB,15.0,15.0,1507.0,1500.0
# Multimodal models
# LLaVA-7B on A100: ~18 GB, ~120 tok/s
multimodal,NVIDIA A100 80GB,120.0,120.0,17.2,18.0
# LLaVA-7B on H100: ~17.5 GB, ~200 tok/s
multimodal,NVIDIA H100 80GB,200.0,200.0,17.2,17.5
# Recommendation models
# DLRM-small on A100: ~0.8 GB, ~5000 tok/s (embedding lookup dominated)
recommendation,NVIDIA A100 80GB,5000.0,5000.0,0.8,0.8
recommendation,NVIDIA H100 80GB,8000.0,8000.0,0.8,0.8
# New hardware
dense,华为 Ascend 910C,130.0,125.0,15.8,15.5
dense,华为 Ascend 310P,60.0,55.0,15.8,16.0
dense,海光 DCU,80.0,75.0,15.8,16.0
dense,沐曦 N100,70.0,65.0,15.8,16.0
